t,phi,z,omega,vz,E,E_anal
3.120000,9.300874,9.882820,-0.077869,1.440738,94.040712,94.039612
3.130000,9.300087,9.896868,-0.079621,1.368715,94.040712,94.039612
3.140000,9.299282,9.910195,-0.081389,1.296703,94.040712,94.039612
3.150000,9.298459,9.922802,-0.083176,1.224701,94.040712,94.039612
3.160000,9.297618,9.934689,-0.084981,1.152710,94.040712,94.039612
3.170000,9.296759,9.945856,-0.086805,1.080730,94.040712,94.039612
3.180000,9.295882,9.956303,-0.088649,1.008761,94.040712,94.039612
3.190000,9.294986,9.966031,-0.090515,0.936805,94.040712,94.039612
3.200000,9.294072,9.975039,-0.092402,0.864860,94.040712,94.039612
3.210000,9.293138,9.983328,-0.094313,0.792928,94.040712,94.039612
3.220000,9.292185,9.990898,-0.096247,0.721009,94.040712,94.039612
3.230000,9.291213,9.997749,-0.098206,0.649104,94.040712,94.039612
3.240000,9.290221,10.003880,-0.100190,0.577212,94.040712,94.039612
3.250000,9.289209,10.009293,-0.102201,0.505335,94.040712,94.039612
3.260000,9.288177,10.013987,-0.104240,0.433472,94.040712,94.039612
3.270000,9.287124,10.017962,-0.106307,0.361624,94.040712,94.039612
3.280000,9.286051,10.021219,-0.108404,0.289792,94.040712,94.039612
3.290000,9.284956,10.023758,-0.110531,0.217975,94.040712,94.039612
3.300000,9.283840,10.025579,-0.112690,0.146176,94.040712,94.039612
3.310000,9.282702,10.026682,-0.114882,0.074393,94.040712,94.039612
3.320000,9.281542,10.027067,-0.117107,0.002628,94.040712,94.039612
3.330000,9.280360,10.026735,-0.119368,-0.069118,94.040712,94.039612
3.340000,9.279155,10.025685,-0.121665,-0.140846,94.040712,94.039612
3.350000,9.277927,10.023918,-0.123999,-0.212555,94.040712,94.039612
3.360000,9.276675,10.021434,-0.126371,-0.284244,94.040712,94.039612
3.370000,9.275399,10.018233,-0.128783,-0.355912,94.040712,94.039612
3.380000,9.274099,10.014315,-0.131236,-0.427559,94.040712,94.039612
3.390000,9.272774,10.009682,-0.133732,-0.499184,94.040712,94.039612
3.400000,9.271424,10.004332,-0.136271,-0.570786,94.040712,94.039612
3.410000,9.270049,9.998266,-0.138856,-0.642366,94.040712,94.039612
3.420000,9.268647,9.991485,-0.141487,-0.713920,94.040712,94.039612
3.430000,9.267219,9.983988,-0.144166,-0.785451,94.040712,94.039612
3.440000,9.265763,9.975776,-0.146894,-0.856955,94.040712,94.039612
3.450000,9.264281,9.966849,-0.149674,-0.928433,94.040712,94.039612
3.460000,9.262770,9.957207,-0.152506,-0.999883,94.040712,94.039612
3.470000,9.261230,9.946851,-0.155393,-1.071305,94.040712,94.039612
3.480000,9.259662,9.935781,-0.158335,-1.142698,94.040712,94.039612
3.490000,9.258063,9.923997,-0.161336,-1.214060,94.040712,94.039612
3.500000,9.256435,9.911500,-0.164396,-1.285391,94.040712,94.039612
